event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-05-26 22:07:00,,2023-05-26 22:07:30,2,,,true,,72421,2023-05-26 22:09:00,false,MANUAL,M15,,54,true,366L48CR26,false,LATE,51464880,54,72421,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 18:29:00,,2023-05-26 18:29:30,12,,,true,,52702,2023-05-26 18:41:00,false,MANUAL,,,79,true,511F11MV26,false,LATE,21936004,79,52702,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 17:57:00,,2023-05-26 17:57:00,8,,,true,,51344,2023-05-26 18:05:00,false,MANUAL,,,79,true,511R21MV26,false,LATE,27936004,79,51344,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 18:02:00,,2023-05-26 18:02:30,7,,,true,,51347,2023-05-26 18:09:00,false,MANUAL,,,79,true,511R21MV26,false,LATE,27936004,79,51347,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 18:06:00,,2023-05-26 18:06:30,5,,,true,,51402,2023-05-26 18:11:00,false,MANUAL,,,79,true,511R21MV26,false,LATE,27936004,79,51402,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 15:19:00,,2023-05-26 15:19:30,5,,,true,,52705,2023-05-26 15:24:00,false,MANUAL,,,79,true,512D53MO26,false,LATE,24936004,79,52705,true,,,DEPARTURE,,
ARRIVAL,2023-05-26 16:07:00,,2023-05-26 16:06:30,0,,,true,1,87138,2023-05-26 16:06:00,false,MANUAL,,,93,false,512O15MP26,false,ON TIME,24682004,93,87138,true,,,ARRIVAL,87136,
ARRIVAL,2023-05-26 17:24:00,,2023-05-26 17:23:30,0,,,true,1,87138,2023-05-26 17:23:00,false,MANUAL,,,93,false,512O22MR26,false,ON TIME,24682004,93,87138,true,,,ARRIVAL,87130,
DEPARTURE,2023-05-26 17:24:00,,2023-05-26 17:24:00,0,,,true,4,87138,2023-05-26 17:24:00,false,MANUAL,,,93,false,512O22MR26,false,ON TIME,24682004,93,87138,true,,,DEPARTURE,87130,
DEPARTURE,2023-05-26 17:17:00,,2023-05-26 17:17:00,0,,,true,3,87132,2023-05-26 17:17:00,false,MANUAL,,,93,false,512O22MR26,false,ON TIME,24682004,93,87132,true,,,DEPARTURE,87136,
ARRIVAL,2023-05-26 06:00:00,,2023-05-26 06:00:00,51,,,true,55,47221,2023-05-26 05:09:00,false,MANUAL,LH1,,39,false,516U071426,false,EARLY,53693602,39,47221,true,,,ARRIVAL,47213,
