event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-05-26 19:11:00,,2023-05-26 19:11:30,1,,,true,,51019,2023-05-26 19:12:00,false,MANUAL,,,79,true,522F00MX26,false,LATE,26936004,79,51019,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 12:04:00,,2023-05-26 12:04:00,8,,,true,,72421,2023-05-26 12:12:00,false,MANUAL,,,30,true,522N81MJ26,false,LATE,22214000,30,72421,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 17:03:00,,2023-05-26 17:03:00,0,,,true,,72419,2023-05-26 17:03:00,false,MANUAL,,,30,true,522Y02MT26,false,ON TIME,22214000,30,72419,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 17:10:00,,2023-05-26 17:10:00,5,,,true,,72421,2023-05-26 17:15:00,false,MANUAL,,,30,true,522Y03MT26,false,LATE,22214000,30,72421,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 21:39:00,,2023-05-26 21:39:30,1,,,true,,72421,2023-05-26 21:38:00,false,MANUAL,,,30,true,522Y25M726,false,EARLY,22214000,30,72421,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 21:55:00,,2023-05-26 21:55:00,2,,,true,,72421,2023-05-26 21:53:00,false,MANUAL,,,30,true,522Y26M726,false,EARLY,22214000,30,72421,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-26 05:31:00,7,,,true,,51558,2023-05-26 05:24:00,false,MANUAL,,,30,true,525U01M526,false,EARLY,21252001,30,51558,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 23:03:00,,2023-05-26 23:03:00,8,,,true,,51558,2023-05-26 23:11:00,false,MANUAL,,,30,true,722J33N826,false,LATE,21921000,30,51558,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 23:08:00,,2023-05-26 23:08:30,8,,,false,,00000,2023-05-26 23:16:00,false,MANUAL,,,30,true,722J33N826,false,LATE,21921000,30,51553,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 23:13:00,,2023-05-26 23:13:30,6,,,false,,00000,2023-05-26 23:19:00,false,MANUAL,,,30,true,722J33N826,false,LATE,21921000,30,51547,true,,,DEPARTURE,,
ARRIVAL,2023-05-26 18:48:00,,2023-05-26 18:48:00,0,,,true,2,72275,2023-05-26 18:48:00,false,MANUAL,,,30,false,725N582X26,false,ON TIME,22216001,30,72275,true,,,ARRIVAL,72273,
DEPARTURE,2023-05-26 18:50:00,,2023-05-26 18:50:00,2,,,true,1,72275,2023-05-26 18:48:00,false,MANUAL,,,30,false,725N582X26,false,EARLY,22216001,30,72275,true,,,DEPARTURE,72273,
DEPARTURE,2023-05-26 16:52:00,,2023-05-26 16:52:30,0,,,true,,72421,2023-05-26 16:52:00,false,MANUAL,,,30,true,872L46MS26,false,ON TIME,22204000,30,72421,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 21:56:00,,2023-05-26 21:56:00,13,,,true,,72275,2023-05-26 22:09:00,false,MANUAL,,,30,true,872L71M726,false,LATE,22204000,30,72275,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 22:47:00,,2023-05-26 22:47:00,14,,,true,,72421,2023-05-26 23:01:00,false,MANUAL,,,30,true,872L73M826,false,LATE,22204000,30,72421,true,,,DEPARTURE,,
ARRIVAL,2023-05-26 23:26:00,,2023-05-26 23:26:00,15,,,true,,72419,2023-05-26 23:41:00,false,MANUAL,,,30,true,872L76M826,false,LATE,22204000,30,72419,true,,,ARRIVAL,,
DEPARTURE,2023-05-26 15:28:00,,2023-05-26 15:28:00,13,,,true,,72419,2023-05-26 15:41:00,false,MANUAL,,,30,true,872N40MP26,false,LATE,22214000,30,72419,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 16:53:00,,2023-05-26 16:53:00,0,,,true,,72419,2023-05-26 16:53:00,false,MANUAL,,,30,true,872N47MS26,false,ON TIME,22214000,30,72419,true,,,DEPARTURE,,
ARRIVAL,2023-05-26 06:54:00,,2023-05-26 06:54:00,34,,,true,,11524,2023-05-26 06:20:00,false,MANUAL,L5X,,42,true,116Z031426,false,EARLY,53693803,42,11524,false,,,DESTINATION,,
DEPARTURE,2023-05-26 20:14:00,,2023-05-26 20:14:00,0,,,true,2,53401,2023-05-26 20:14:00,false,MANUAL,,,88,false,535V56MZ26,false,ON TIME,21788001,88,53401,true,,,DEPARTURE,53403,
ARRIVAL,2023-05-26 19:16:00,,2023-05-26 19:15:30,0,,,true,,87171,2023-05-26 19:15:00,false,MANUAL,,,84,true,862L64MW26,false,ON TIME,24629204,84,87171,true,,,ARRIVAL,,
ARRIVAL,2023-05-26 16:21:00,,2023-05-26 16:21:00,6,,,true,,50111,2023-05-26 16:27:00,false,MANUAL,,,21,true,502T22MS26,false,LATE,21926001,21,50111,true,,,DESTINATION,,
DEPARTURE,2023-05-27 00:08:00,,2023-05-27 00:08:00,10,,,true,,69424,2023-05-26 23:58:00,false,MANUAL,,,74,true,695U89M027,false,EARLY,25530004,74,69424,true,,,DEPARTURE,,
DEPARTURE,2023-05-27 00:30:00,,2023-05-27 00:30:30,37,,,true,,66321,2023-05-26 23:53:00,false,MANUAL,M9M,,05,true,156V03CX26,false,EARLY,59430640,05,66321,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 22:11:00,,2023-05-26 22:11:00,0,,,true,2,74446,2023-05-26 22:11:00,false,MANUAL,,,25,false,745V771826,false,ON TIME,25514005,25,74446,true,,,DEPARTURE,74445,
ARRIVAL,2023-05-27 00:10:00,,2023-05-27 00:10:00,24,,,true,,65705,2023-05-26 23:46:00,false,MANUAL,MM2,,54,true,660G98C926,false,EARLY,51464580,54,65705,false,,,DESTINATION,,
DEPARTURE,,,2023-05-27 00:01:00,5,,,true,,46277,2023-05-26 23:56:00,false,MANUAL,LZV,,09,true,154L78CP26,false,EARLY,54606070,09,46277,true,,,DEPARTURE,,
DEPARTURE,2023-05-26 16:32:00,,2023-05-26 16:32:00,2,,,true,,50111,2023-05-26 16:34:00,false,MANUAL,,,21,true,502T23MT26,false,LATE,21926001,21,50111,true,,,DEPARTURE,,
ARRIVAL,2023-05-27 00:07:00,,2023-05-27 00:07:00,29,,,true,33,65085,2023-05-26 23:38:00,false,MANUAL,MLH,,09,false,424L82C926,false,EARLY,54606070,09,65085,true,,,ARRIVAL,65089,
DEPARTURE,2023-05-26 07:55:00,,2023-05-26 07:55:30,2,,,true,,74463,2023-05-26 07:57:00,false,MANUAL,,,25,true,672E80MA26,false,LATE,25524005,25,74463,false,,,DEPARTURE,,
ARRIVAL,2023-05-26 13:11:00,,2023-05-26 13:11:00,0,,,true,,11611,2023-05-26 13:11:00,false,MANUAL,,,23,true,112C87ML26,false,ON TIME,22352000,23,11611,true,,,DESTINATION,,
DEPARTURE,2023-05-26 07:00:00,,2023-05-26 07:00:00,0,,,true,,00000,2023-05-26 07:00:00,false,MANUAL,,,23,true,362N92MA26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 08:00:00,,2023-05-26 08:00:00,0,,,true,,00000,2023-05-26 08:00:00,false,MANUAL,,,23,true,362N93MC26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 09:00:00,,2023-05-26 09:00:00,0,,,true,,00000,2023-05-26 09:00:00,false,MANUAL,,,23,true,362N94ME26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 10:00:00,,2023-05-26 10:00:00,0,,,true,,00000,2023-05-26 10:00:00,false,MANUAL,,,23,true,362N95MG26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 12:00:00,,2023-05-26 12:00:00,0,,,true,,00000,2023-05-26 12:00:00,false,MANUAL,,,23,true,362N97MK26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 14:00:00,,2023-05-26 14:00:00,0,,,true,,00000,2023-05-26 14:00:00,false,MANUAL,,,23,true,362N99MO26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 14:46:00,,2023-05-26 14:46:00,0,,,true,,00000,2023-05-26 14:46:00,false,MANUAL,,,23,true,362N90MP26,false,ON TIME,12240820,23,36046,,,,DEPARTURE,,
DEPARTURE,2023-05-26 06:18:00,,2023-05-26 06:18:00,4,,,true,5,00000,2023-05-26 06:14:00,false,MANUAL,,,23,false,095H11M626,false,EARLY,22974000,23,09532,,,,DEPARTURE,09531,
DEPARTURE,2023-05-26 19:49:00,,2023-05-26 19:49:00,0,,,true,2,53401,2023-05-26 19:49:00,false,MANUAL,,,88,false,535Y99MY26,false,ON TIME,22788002,88,53401,true,,,DEPARTURE,53403,
DEPARTURE,2023-05-26 19:54:00,,2023-05-26 19:54:00,0,,,true,2,63201,2023-05-26 19:54:00,false,MANUAL,,,88,false,635V73MY26,false,ON TIME,22788002,88,63201,true,,,DEPARTURE,63202,
ARRIVAL,2023-05-26 20:06:00,,2023-05-26 20:06:00,0,,,true,,63201,2023-05-26 20:06:00,false,MANUAL,,,88,true,635V73MY26,false,ON TIME,22788002,88,63201,true,,,DESTINATION,,
DEPARTURE,2023-05-27 00:04:00,,2023-05-27 00:04:00,19,,,true,,67195,2023-05-26 23:45:00,false,MANUAL,,,29,true,675V98M027,false,EARLY,22977000,29,67195,false,,,DEPARTURE,,
