event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2023-09-09 15:11:00,,2023-09-09 15:10:30,1,,,false,1,00000,2023-09-09 15:11:00,false,MANUAL,,,71,false,801B67MQ09,false,LATE,25432000,71,80407,,,,ARRIVAL,79019,
ARRIVAL,,,2023-09-09 15:10:00,8,,,true,1,86012,2023-09-09 15:18:00,false,AUTOMATIC,,,84,false,871W71MQ09,false,LATE,24620204,84,86012,true,,,ARRIVAL,86010,
ARRIVAL,,,2023-09-09 15:15:00,1,,,true,1,54238,2023-09-09 15:14:00,false,AUTOMATIC,,,61,false,441B85MM09,false,EARLY,21702001,61,54238,true,,,ARRIVAL,54245,
ARRIVAL,,,2023-09-09 15:15:30,0,,,true,1,32581,2023-09-09 15:15:00,false,AUTOMATIC,,,65,false,321A61MP09,false,ON TIME,22108001,65,32581,true,,,ARRIVAL,42012,
ARRIVAL,2023-09-09 15:16:00,,2023-09-09 15:15:30,0,,,false,1,00000,2023-09-09 15:15:00,false,MANUAL,,,29,false,712F22MQ09,false,ON TIME,22213000,29,71036,,,,ARRIVAL,71038,
DEPARTURE,2023-09-09 15:07:00,,2023-09-09 15:07:30,6,,,true,1,38151,2023-09-09 15:13:00,false,AUTOMATIC,, 3,64,false,382W32MO09,false,LATE,12305012,64,38151,true,DOWN,DOWN,DEPARTURE,38014,
ARRIVAL,,,2023-09-09 14:56:30,24,,,true,1,04827,2023-09-09 15:20:00,false,AUTOMATIC,,,61,false,541S13MI09,false,LATE,21700001,61,04827,true,,,ARRIVAL,04821,
DEPARTURE,2023-09-09 15:12:00,,2023-09-09 15:12:30,1,,,true,9,49302,2023-09-09 15:13:00,false,AUTOMATIC,, 3,21,false,521Y20MO09,false,LATE,21939001,21,49302,true,DOWN,DOWN,DEPARTURE,49223,D
ARRIVAL,2023-09-09 15:05:00,,2023-09-09 15:04:30,10,,,true,1,47221,2023-09-09 15:14:00,false,AUTOMATIC,, 8,27,false,651L40MK09,false,LATE,22268000,27,47221,true,UP,UP,ARRIVAL,47250,
DEPARTURE,2023-09-09 15:12:00,,2023-09-09 15:12:00,0,,,false,1,00000,2023-09-09 15:12:00,false,AUTOMATIC,, 1,30,false,522Y89MQ09,false,ON TIME,22214000,30,52042,true,UP,UP,DEPARTURE,52044,U
DEPARTURE,2023-09-09 15:13:00,,2023-09-09 15:13:00,0,,,true,3,87920,2023-09-09 15:13:00,false,AUTOMATIC,, 1,88,false,879J46MP09,false,ON TIME,22729000,88,87920,true,UP,UP,DEPARTURE,87911,S
DEPARTURE,2023-09-09 15:10:00,,2023-09-09 15:10:30,3,,,true,4,87701,2023-09-09 15:13:00,false,AUTOMATIC,, 3,88,false,871F36MP09,false,LATE,24746000,88,87701,true,DOWN,DOWN,DEPARTURE,87801,F
DEPARTURE,,,2023-09-09 15:13:30,0,,,true,2,86333,2023-09-09 15:13:00,false,AUTOMATIC,,,84,false,861T54MP09,false,ON TIME,24631204,84,86333,true,UP,UP,DEPARTURE,86302,C
DEPARTURE,2023-09-09 14:49:00,,2023-09-09 14:49:00,23,,,true,1,86976,2023-09-09 15:12:00,false,AUTOMATIC,, 2,84,false,871W65MK09,false,LATE,24620204,84,86976,true,DOWN,DOWN,DEPARTURE,86980,
DEPARTURE,,,2023-09-09 14:50:00,23,,,false,5,00000,2023-09-09 15:13:00,false,AUTOMATIC,,,84,false,871W65MK09,false,LATE,24620204,84,86980,true,DOWN,DOWN,DEPARTURE,86978,M
