event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-09-03 02:01:00,,2023-09-03 02:01:30,1,,,true,1,87568,2023-09-03 02:00:00,false,AUTOMATIC,, 3,30,false,529I11M103,false,EARLY,22215003,30,87568,true,DOWN,DOWN,DEPARTURE,87572,
ARRIVAL,2023-09-03 01:59:00,,2023-09-03 01:59:00,3,,,true,1,52074,2023-09-03 02:02:00,false,AUTOMATIC,, 4,30,false,529I13M103,false,LATE,22215003,30,52074,true,DOWN,DOWN,ARRIVAL,52078,D
ARRIVAL,2023-09-03 02:03:00,,2023-09-03 02:02:30,1,,,false,2,00000,2023-09-03 02:01:00,false,AUTOMATIC,, 2,30,false,529I11M103,false,EARLY,22215003,30,87572,true,DOWN,DOWN,ARRIVAL,87574,
